idx,Syll-Type,Premise,Hypothesis,label
89999,2,All Hondurans are Commercial divers and some Hondurans are Fossil hunters.,All Fossil hunters are Commercial divers.,2
90000,2,All Gabonese are Bailiffs and some Gabonese are Insect collectors.,All Insect collectors are Bailiffs.,2
90001,2,All Gabonese are Bakers and some Gabonese are Insect collectors.,All Insect collectors are Bakers.,2
90002,2,All Gabonese are Barbers and some Gabonese are Insect collectors.,All Insect collectors are Barbers.,2
90003,2,All Gabonese are Bartenders and some Gabonese are Insect collectors.,All Insect collectors are Bartenders.,2
90004,2,All Gabonese are Boilermakers and some Gabonese are Insect collectors.,All Insect collectors are Boilermakers.,2
90005,2,All Gabonese are Brokerage clerks and some Gabonese are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90006,2,All Gabonese are Budget analysts and some Gabonese are Insect collectors.,All Insect collectors are Budget analysts.,2
90007,2,All Gabonese are Carpenters and some Gabonese are Insect collectors.,All Insect collectors are Carpenters.,2
90008,2,All Gabonese are Cashiers and some Gabonese are Insect collectors.,All Insect collectors are Cashiers.,2
90009,2,All Gabonese are Chief executives and some Gabonese are Insect collectors.,All Insect collectors are Chief executives.,2
90010,2,All Gabonese are Childcare workers and some Gabonese are Insect collectors.,All Insect collectors are Childcare workers.,2
90011,2,All Gabonese are Chiropractors and some Gabonese are Insect collectors.,All Insect collectors are Chiropractors.,2
90012,2,All Gabonese are Civil engineers and some Gabonese are Insect collectors.,All Insect collectors are Civil engineers.,2
90013,2,All Gabonese are Clergys and some Gabonese are Insect collectors.,All Insect collectors are Clergys.,2
90014,2,All Gabonese are Commercial divers and some Gabonese are Insect collectors.,All Insect collectors are Commercial divers.,2
90015,2,All Gambians are Bailiffs and some Gambians are Insect collectors.,All Insect collectors are Bailiffs.,2
90016,2,All Gambians are Bakers and some Gambians are Insect collectors.,All Insect collectors are Bakers.,2
90017,2,All Gambians are Barbers and some Gambians are Insect collectors.,All Insect collectors are Barbers.,2
90018,2,All Gambians are Bartenders and some Gambians are Insect collectors.,All Insect collectors are Bartenders.,2
90019,2,All Gambians are Boilermakers and some Gambians are Insect collectors.,All Insect collectors are Boilermakers.,2
90020,2,All Gambians are Brokerage clerks and some Gambians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90021,2,All Gambians are Budget analysts and some Gambians are Insect collectors.,All Insect collectors are Budget analysts.,2
90022,2,All Gambians are Carpenters and some Gambians are Insect collectors.,All Insect collectors are Carpenters.,2
90023,2,All Gambians are Cashiers and some Gambians are Insect collectors.,All Insect collectors are Cashiers.,2
90024,2,All Gambians are Chief executives and some Gambians are Insect collectors.,All Insect collectors are Chief executives.,2
